"BehaviorSpace results (NetLogo 6.3.0)"
"Social impact theory.nlogo"
"experiment"
"04/19/2023 15:52:21:143 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","max-h","probability-of-spin-up","[step]","magnetization"
"2","100","50","23","0.7868480725623582"
"4","100","50","17","0.5510204081632653"
"5","100","50","17","-0.08843537414965986"
"3","100","50","35","0.8049886621315193"
"2","100","50","24","0.800453514739229"
"3","100","50","36","0.8049886621315193"
"2","100","50","25","0.800453514739229"
"1","100","50","21","0.5600907029478458"
"5","100","50","18","-0.09297052154195011"
"4","100","50","18","0.5691609977324263"
"3","100","50","37","0.81859410430839"
"2","100","50","26","0.81859410430839"
"1","100","50","22","0.564625850340136"
"3","100","50","38","0.8231292517006803"
"2","100","50","27","0.81859410430839"
"5","100","50","19","-0.07936507936507936"
"3","100","50","39","0.8231292517006803"
"1","100","50","23","0.5555555555555556"
"4","100","50","19","0.5827664399092971"
"3","100","50","40","0.8276643990929705"
"5","100","50","20","-0.07029478458049887"
"1","100","50","24","0.564625850340136"
"4","100","50","20","0.5873015873015873"
"3","100","50","41","0.8276643990929705"
"1","100","50","25","0.564625850340136"
"2","100","50","28","0.8276643990929705"
"5","100","50","21","-0.07482993197278912"
"3","100","50","42","0.8276643990929705"
"4","100","50","21","0.5963718820861678"
"1","100","50","26","0.564625850340136"
"2","100","50","29","0.8276643990929705"
"3","100","50","43","0.8276643990929705"
"1","100","50","27","0.5782312925170068"
"4","100","50","22","0.6099773242630385"
"5","100","50","22","-0.07029478458049887"
"3","100","50","44","0.8321995464852607"
"2","100","50","30","0.8231292517006803"
"3","100","50","45","0.8321995464852607"
"1","100","50","28","0.5827664399092971"
"5","100","50","23","-0.061224489795918366"
"2","100","50","31","0.8276643990929705"
"3","100","50","46","0.8412698412698413"
"4","100","50","23","0.6190476190476191"
"1","100","50","29","0.5736961451247166"
"3","100","50","47","0.8458049886621315"
"2","100","50","32","0.8276643990929705"
"3","100","50","48","0.8503401360544217"
"4","100","50","24","0.6235827664399093"
"5","100","50","24","-0.03854875283446712"
"1","100","50","30","0.5782312925170068"
"2","100","50","33","0.8321995464852607"
"3","100","50","49","0.8503401360544217"
"2","100","50","34","0.8321995464852607"
"5","100","50","25","-0.034013605442176874"
"4","100","50","25","0.6507936507936508"
"1","100","50","31","0.5827664399092971"
"3","100","50","50","0.8458049886621315"
"2","100","50","35","0.8321995464852607"
"1","100","50","32","0.5873015873015873"
"3","100","50","51","0.8412698412698413"
"4","100","50","26","0.6689342403628118"
"1","100","50","33","0.5873015873015873"
"5","100","50","26","-0.034013605442176874"
"2","100","50","36","0.8321995464852607"
"3","100","50","52","0.8412698412698413"
"2","100","50","37","0.8458049886621315"
"3","100","50","53","0.8412698412698413"
"1","100","50","34","0.5918367346938775"
"4","100","50","27","0.6689342403628118"
"5","100","50","27","-0.04308390022675737"
"3","100","50","54","0.8412698412698413"
"1","100","50","35","0.5873015873015873"
"2","100","50","38","0.8412698412698413"
"4","100","50","28","0.6825396825396826"
"1","100","50","36","0.5918367346938775"
"5","100","50","28","-0.03854875283446712"
"3","100","50","55","0.8458049886621315"
"2","100","50","39","0.8412698412698413"
"4","100","50","29","0.7097505668934241"
"5","100","50","29","-0.02947845804988662"
"1","100","50","37","0.5918367346938775"
"3","100","50","56","0.8458049886621315"
"2","100","50","40","0.8321995464852607"
"4","100","50","30","0.7278911564625851"
"5","100","50","30","-0.04308390022675737"
"1","100","50","38","0.5963718820861678"
"3","100","50","57","0.8458049886621315"
"2","100","50","41","0.8276643990929705"
"4","100","50","31","0.7369614512471655"
"5","100","50","31","-0.047619047619047616"
"1","100","50","39","0.5963718820861678"
"3","100","50","58","0.8412698412698413"
"4","100","50","32","0.746031746031746"
"5","100","50","32","-0.05215419501133787"
"2","100","50","42","0.8276643990929705"
"1","100","50","40","0.5918367346938775"
"3","100","50","59","0.8412698412698413"
"5","100","50","33","-0.04308390022675737"
"2","100","50","43","0.8367346938775511"
"4","100","50","33","0.7551020408163265"
"1","100","50","41","0.5918367346938775"
"3","100","50","60","0.8503401360544217"
"5","100","50","34","-0.04308390022675737"
"2","100","50","44","0.8321995464852607"
"4","100","50","34","0.764172335600907"
"3","100","50","61","0.8503401360544217"
"5","100","50","35","-0.03854875283446712"
"2","100","50","45","0.8367346938775511"
"1","100","50","42","0.5918367346938775"
"4","100","50","35","0.7777777777777778"
"5","100","50","36","-0.03854875283446712"
"2","100","50","46","0.8321995464852607"
"4","100","50","36","0.782312925170068"
"1","100","50","43","0.5963718820861678"
"3","100","50","62","0.854875283446712"
"2","100","50","47","0.8321995464852607"
"4","100","50","37","0.7868480725623582"
"5","100","50","37","-0.03854875283446712"
"1","100","50","44","0.6009070294784581"
"3","100","50","63","0.854875283446712"
"2","100","50","48","0.8321995464852607"
"4","100","50","38","0.7959183673469388"
"5","100","50","38","-0.034013605442176874"
"1","100","50","45","0.6054421768707483"
"3","100","50","64","0.854875283446712"
"2","100","50","49","0.8367346938775511"
"4","100","50","39","0.800453514739229"
"5","100","50","39","-0.04308390022675737"
"1","100","50","46","0.6099773242630385"
"2","100","50","50","0.8412698412698413"
"3","100","50","65","0.854875283446712"
"4","100","50","40","0.8049886621315193"
"2","100","50","51","0.8458049886621315"
"5","100","50","40","-0.047619047619047616"
"3","100","50","66","0.854875283446712"
"1","100","50","47","0.6190476190476191"
"2","100","50","52","0.8503401360544217"
"3","100","50","67","0.854875283446712"
"4","100","50","41","0.8049886621315193"
"5","100","50","41","-0.04308390022675737"
"2","100","50","53","0.8458049886621315"
"3","100","50","68","0.8503401360544217"
